org_name,title_of_opportunity,days_of_week,time_of_day,location_type,zipcode
LumoNest Initiative,Community Engagement Fellow,"Tuesday, Thursday","Morning, Evening",Both,30303
LumoNest Initiative,Workshop Logistics Assistant,"Tuesday, Thursday, Saturday",Morning,In Person,75217
Virelia Foundation,Youth Program Mentor,"Monday, Wednesday",Morning,In Person,19143
Virelia Foundation,Grant Research Volunteer,Sunday,"Morning, Afternoon, Evening",Remote,
Virelia Foundation,Events Assistant,"Friday, Saturday, Sunday","Morning, Afternoon, Evening",Remote,
Thryssa Commons,Urban Garden Coordinator,"Wednesday, Friday",Evening,In Person,19143
Thryssa Commons,Compost Educator,"Monday, Tuesday, Wednesday, Thursday",Afternoon,In Person,85009
Zynko Project,Art Therapy Assistant,"Tuesday, Thursday",Afternoon,In Person,77021
Zynko Project,Mobile Outreach Volunteer,"Tuesday, Thursday, Saturday",Afternoon,In Person,75217
The Quendari Trust,After-School Tutor,Thursday,Afternoon,Remote,
The Quendari Trust,Volunteer Recruitment Liaison,Saturday,Morning,Remote,
BrambleLight Collective,Media Archive Volunteer,"Tuesday, Thursday",Afternoon,Both,30303
BrambleLight Collective,Local Story Collector,Thursday,Afternoon,Remote,
Solvenya Works,Digital Literacy Coach,"Friday, Saturday, Sunday",Morning,In Person,30303
Solvenya Works,Curriculum Review Volunteer,"Monday, Tuesday, Wednesday, Thursday","Morning, Afternoon, Evening",Remote,
Nexava Rising,College Application Mentor,"Tuesday, Thursday","Morning, Afternoon, Evening",Remote,
Nexava Rising,Youth Ambassador,Saturday,Morning,Remote,
OrbiKin Alliance,Donation Intake Organizer,"Friday, Saturday, Sunday",Morning,Both,75217
OrbiKin Alliance,Care Package Assembler,"Friday, Saturday, Sunday",Morning,In Person,94110
Caldra Spark Foundation,Early Literacy Tutor,"Monday, Wednesday, Friday",Evening,Remote,
Caldra Spark Foundation,Family Engagement Volunteer,"Tuesday, Thursday, Saturday",Morning,Both,75217
Caldra Spark Foundation,Reading Circle Facilitator,"Tuesday, Thursday",Evening,In Person,
